,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,_Attrition_bin
Age,1.0,0.00729,-0.019291,0.204937,,-0.00177,0.00982,0.028858,0.034456,0.489618,-0.005185,0.471902,0.017451,0.353213,0.007709,9.3e-05,0.046063,,0.056633,0.656896,0.000316,-0.003707,0.251686,0.197978,0.173647,0.194818,-0.171214
DailyRate,0.00729,1.0,-0.002754,-0.013607,,-0.0518,0.018961,0.023511,0.042469,0.003816,0.027829,0.01626,-0.03236,0.036548,0.02507,0.000624,0.009685,,0.038514,0.020951,-0.011339,-0.040352,-0.009778,0.007208,-0.037631,-0.004717,-0.05697
DistanceFromHome,-0.019291,-0.002754,1.0,0.015708,,0.038906,-0.010401,0.020446,0.03443,0.022148,-0.013078,0.002512,0.039618,-0.009592,0.029666,0.01132,0.005852,,0.03019,-0.002912,-0.024848,-0.020402,0.010513,0.013708,-0.004685,0.004448,0.079248
Education,0.204937,-0.013607,0.015708,1.0,,0.042815,-0.027625,0.014432,0.037231,0.107419,-0.005175,0.120028,-0.021214,0.135103,0.0043,-0.025081,-0.013173,,0.013794,0.162177,-0.023749,0.01735,0.064196,0.054567,0.032203,0.051292,-0.030346
EmployeeCount,,,,,,,,,,,,,,,,,,,,,,,,,,,
EmployeeNumber,-0.00177,-0.0518,0.038906,0.042815,,1.0,0.02175,0.034717,-0.002453,-0.011057,-0.04715,0.001797,0.011933,0.007011,-0.008179,-0.020675,-0.072991,,0.05948,-0.003748,0.026502,0.009994,0.013205,-0.001079,0.007857,-0.005138,-0.010369
EnvironmentSatisfaction,0.00982,0.018961,-0.010401,-0.027625,,0.02175,1.0,-0.05238,-0.015301,-0.000192,-0.002993,-0.015163,0.037477,0.006151,-0.030489,-0.02916,0.005353,,0.009826,-0.013882,-0.011659,0.027169,0.008425,0.02014,0.026082,-0.001732,-0.096486
HourlyRate,0.028858,0.023511,0.020446,0.014432,,0.034717,-0.05238,1.0,0.043884,-0.033876,-0.06834,-0.019762,-0.014888,0.019209,-0.009876,-0.002185,0.000259,,0.050543,-0.012072,0.000292,-0.010003,-0.029032,-0.034016,-0.052412,-0.013811,-0.006692
JobInvolvement,0.034456,0.042469,0.03443,0.037231,,-0.002453,-0.015301,0.043884,1.0,-0.018424,-0.012148,-0.024552,-0.018117,0.015448,-0.016999,-0.024733,0.037857,,0.034464,0.006444,0.002014,-0.019889,0.013836,0.015548,-0.008307,0.037397,-0.119496
JobLevel,0.489618,0.003816,0.022148,0.107419,,-0.011057,-0.000192,-0.033876,-0.018424,1.0,-0.000852,0.920429,0.052792,0.17827,-0.032453,-0.018608,0.011311,,0.047786,0.734678,-0.019729,0.040466,0.472283,0.391085,0.269096,0.370889,-0.19037
