,EmployeeCount,Over18,StandardHours,Gender,OverTime,PerformanceRating,BusinessTravel,Department,MaritalStatus,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance
EmployeeCount,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Over18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StandardHours,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gender,0.0,0.0,0.0,1.0,0.032828,0.0,0.026295,0.018112,0.022951,0.0,0.0,0.0,0.0,0.0,0.0
OverTime,0.0,0.0,0.0,0.032828,1.0,0.0,0.017039,0.0,0.0,0.034393,0.0,0.012485,0.014667,0.0,0.0
PerformanceRating,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015166,0.0,0.0,0.0
BusinessTravel,0.0,0.0,0.0,0.026295,0.017039,0.0,1.0,0.0,0.034524,0.0,0.013255,0.0,0.0,0.0,0.0
Department,0.0,0.0,0.0,0.018112,0.0,0.0,0.0,1.0,0.030019,0.014549,0.0,0.023949,0.016113,0.0,0.038436
MaritalStatus,0.0,0.0,0.0,0.022951,0.0,0.0,0.034524,0.030019,1.0,0.015873,0.019457,0.0,0.020412,0.47479,0.0
EnvironmentSatisfaction,0.0,0.0,0.0,0.0,0.034393,0.0,0.0,0.014549,0.015873,1.0,0.033818,0.0,0.0,0.0,0.0
JobInvolvement,0.0,0.0,0.0,0.0,0.0,0.0,0.013255,0.0,0.019457,0.033818,1.0,0.0,0.0,0.021672,0.0
JobSatisfaction,0.0,0.0,0.0,0.0,0.012485,0.015166,0.0,0.023949,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RelationshipSatisfaction,0.0,0.0,0.0,0.0,0.014667,0.0,0.0,0.016113,0.020412,0.0,0.0,0.0,1.0,0.029502,0.0
StockOptionLevel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47479,0.0,0.021672,0.0,0.029502,1.0,0.01876
WorkLifeBalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038436,0.0,0.0,0.0,0.0,0.0,0.01876,1.0
