,feature,mutual_information
1,Attrition,0.441695
16,MonthlyIncome,0.03338
13,JobRole,0.030241
19,OverTime,0.027688
24,TotalWorkingYears,0.025848
12,JobLevel,0.02498
30,YearsWithCurrManager,0.0244
27,YearsAtCompany,0.021269
23,StockOptionLevel,0.020984
28,YearsInCurrentRole,0.017537
0,Age,0.017314
15,MaritalStatus,0.014966
18,NumCompaniesWorked,0.008765
11,JobInvolvement,0.008732
5,DistanceFromHome,0.008445
2,BusinessTravel,0.008082
8,EnvironmentSatisfaction,0.006998
14,JobSatisfaction,0.005904
7,EducationField,0.005068
25,TrainingTimesLastYear,0.005018
26,WorkLifeBalance,0.004787
4,Department,0.003568
17,MonthlyRate,0.002049
22,RelationshipSatisfaction,0.001696
6,Education,0.001088
9,Gender,0.000437
21,PerformanceRating,4e-06
10,HourlyRate,0.0
20,PercentSalaryHike,0.0
3,DailyRate,0.0
29,YearsSinceLastPromotion,0.0
