,feature,vif
8,JobLevel,11.208731
10,MonthlyIncome,10.802169
17,TotalWorkingYears,4.767805
20,YearsAtCompany,4.587405
23,YearsWithCurrManager,2.774625
21,YearsInCurrentRole,2.718616
13,PercentSalaryHike,2.516413
14,PerformanceRating,2.514405
0,Age,2.044997
22,YearsSinceLastPromotion,1.674285
12,NumCompaniesWorked,1.257738
3,Education,1.061247
16,StockOptionLevel,1.021305
1,DailyRate,1.020863
15,RelationshipSatisfaction,1.020376
4,EmployeeNumber,1.019558
6,HourlyRate,1.019212
2,DistanceFromHome,1.016514
9,JobSatisfaction,1.016416
7,JobInvolvement,1.016367
19,WorkLifeBalance,1.014959
11,MonthlyRate,1.012457
5,EnvironmentSatisfaction,1.010565
18,TrainingTimesLastYear,1.010545
