,column,outliers_IQR,outliers_Zgt3,n,IQR_outlier_rate_%,Z_outlier_rate_%
0,Age,0,0,1470,0.0,0.0
1,DailyRate,0,0,1470,0.0,0.0
2,DistanceFromHome,0,0,1470,0.0,0.0
3,Education,0,0,1470,0.0,0.0
4,EmployeeCount,0,0,1470,0.0,0.0
5,EmployeeNumber,0,0,1470,0.0,0.0
6,EnvironmentSatisfaction,0,0,1470,0.0,0.0
7,HourlyRate,0,0,1470,0.0,0.0
8,JobInvolvement,0,0,1470,0.0,0.0
9,JobLevel,0,0,1470,0.0,0.0
10,JobSatisfaction,0,0,1470,0.0,0.0
11,MonthlyIncome,114,0,1470,7.76,0.0
12,MonthlyRate,0,0,1470,0.0,0.0
13,NumCompaniesWorked,52,0,1470,3.54,0.0
14,PercentSalaryHike,0,0,1470,0.0,0.0
15,PerformanceRating,226,0,1470,15.37,0.0
16,RelationshipSatisfaction,0,0,1470,0.0,0.0
17,StandardHours,0,0,1470,0.0,0.0
18,StockOptionLevel,85,0,1470,5.78,0.0
19,TotalWorkingYears,63,16,1470,4.29,1.09
20,TrainingTimesLastYear,238,0,1470,16.19,0.0
21,WorkLifeBalance,0,0,1470,0.0,0.0
22,YearsAtCompany,104,25,1470,7.07,1.7
23,YearsInCurrentRole,21,13,1470,1.43,0.88
24,YearsSinceLastPromotion,107,42,1470,7.28,2.86
25,YearsWithCurrManager,14,14,1470,0.95,0.95
