,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Age,1470.0,,,,36.923809523809524,9.135373489136734,18.0,30.0,36.0,43.0,60.0
Attrition,1470,2,No,1233,,,,,,,
BusinessTravel,1470,3,Travel_Rarely,1043,,,,,,,
DailyRate,1470.0,,,,802.4857142857143,403.50909994352827,102.0,465.0,802.0,1157.0,1499.0
Department,1470,3,Research & Development,961,,,,,,,
DistanceFromHome,1470.0,,,,9.19251700680272,8.106864435666084,1.0,2.0,7.0,14.0,29.0
Education,1470.0,,,,2.912925170068027,1.0241649445978729,1.0,2.0,3.0,4.0,5.0
EducationField,1470,6,Life Sciences,606,,,,,,,
EmployeeCount,1470.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
EmployeeNumber,1470.0,,,,1024.865306122449,602.024334847475,1.0,491.25,1020.5,1555.75,2068.0
EnvironmentSatisfaction,1470.0,,,,2.721768707482993,1.0930822146349994,1.0,2.0,3.0,4.0,4.0
Gender,1470,2,Male,882,,,,,,,
HourlyRate,1470.0,,,,65.89115646258503,20.329427593996158,30.0,48.0,66.0,83.75,100.0
JobInvolvement,1470.0,,,,2.7299319727891156,0.7115611429632283,1.0,2.0,3.0,3.0,4.0
JobLevel,1470.0,,,,2.0639455782312925,1.1069398989351114,1.0,1.0,2.0,3.0,5.0
JobRole,1470,9,Sales Executive,326,,,,,,,
JobSatisfaction,1470.0,,,,2.7285714285714286,1.1028461230547149,1.0,2.0,3.0,4.0,4.0
MaritalStatus,1470,3,Married,673,,,,,,,
MonthlyIncome,1470.0,,,,6502.931292517007,4707.956783097995,1009.0,2911.0,4919.0,8379.0,19999.0
MonthlyRate,1470.0,,,,14313.103401360544,7117.786044059973,2094.0,8047.0,14235.5,20461.5,26999.0
NumCompaniesWorked,1470.0,,,,2.6931972789115646,2.498009006070751,0.0,1.0,2.0,4.0,9.0
Over18,1470,1,Y,1470,,,,,,,
OverTime,1470,2,No,1054,,,,,,,
PercentSalaryHike,1470.0,,,,15.209523809523809,3.659937716539636,11.0,12.0,14.0,18.0,25.0
PerformanceRating,1470.0,,,,3.1537414965986397,0.36082352460434486,3.0,3.0,3.0,3.0,4.0
RelationshipSatisfaction,1470.0,,,,2.7122448979591836,1.081208886440361,1.0,2.0,3.0,4.0,4.0
StandardHours,1470.0,,,,80.0,0.0,80.0,80.0,80.0,80.0,80.0
StockOptionLevel,1470.0,,,,0.7938775510204081,0.8520766679308365,0.0,0.0,1.0,1.0,3.0
TotalWorkingYears,1470.0,,,,11.279591836734694,7.780781675515004,0.0,6.0,10.0,15.0,40.0
TrainingTimesLastYear,1470.0,,,,2.7993197278911564,1.2892706207958435,0.0,2.0,3.0,3.0,6.0
WorkLifeBalance,1470.0,,,,2.7612244897959184,0.7064758297141522,1.0,2.0,3.0,3.0,4.0
YearsAtCompany,1470.0,,,,7.0081632653061225,6.126525152403566,0.0,3.0,5.0,9.0,40.0
YearsInCurrentRole,1470.0,,,,4.229251700680272,3.6231370346706395,0.0,2.0,3.0,7.0,18.0
YearsSinceLastPromotion,1470.0,,,,2.1877551020408164,3.222430279137968,0.0,0.0,1.0,3.0,15.0
YearsWithCurrManager,1470.0,,,,4.12312925170068,3.5681361205404407,0.0,2.0,3.0,7.0,17.0
_Attrition_bin,1470.0,,,,0.16122448979591836,0.36786303197196357,0.0,0.0,0.0,0.0,1.0
