fold,precision,recall,roc_auc,pr_auc,n_pos,n_test
1,0.38333333333333336,0.9583333333333334,0.9366531165311652,0.7591620175706124,48,294
2,0.40869565217391307,0.9791666666666666,0.9645579268292683,0.8523885978203131,48,294
3,0.40707964601769914,0.9787234042553191,0.9825997071237833,0.940714469179672,47,294
4,0.46,0.9787234042553191,0.9802739254027047,0.9573899134527374,47,294
5,0.37815126050420167,0.9574468085106383,0.952881385132225,0.8647355526888207,47,294
6,0.3902439024390244,1.0,0.9889058265582655,0.9428166262897145,48,294
7,0.41964285714285715,0.9791666666666666,0.9590955284552845,0.8094848136544956,48,294
8,0.42990654205607476,0.9787234042553191,0.9709277284865191,0.9081825899533369,47,294
9,0.3893805309734513,0.9361702127659575,0.9397880954431906,0.8115348916882278,47,294
10,0.4017857142857143,0.9574468085106383,0.9609785511241278,0.9017406037464771,47,294
11,0.42592592592592593,0.9583333333333334,0.9601541327913279,0.840876384624402,48,294
12,0.4528301886792453,1.0,0.9723915989159893,0.8537757777654321,48,294
13,0.39655172413793105,0.9787234042553191,0.9661469549487467,0.8983997634121429,47,294
14,0.3511450381679389,0.9787234042553191,0.9718321991558273,0.9047873349673855,47,294
15,0.41509433962264153,0.9361702127659575,0.9502541131880438,0.8677226359103589,47,294
